,source_text,true_list,false_list,status
0,"""Go online &amp; put down 'Hillary Clinton illness,'"" Rudy says. Yes -- but look up the truth -- not health smears  https://t.co/EprqiZhAxM","[""true information: It's important to verify the news we receive before we believe and share it. This news is based on a tweet by Rudy Giuliani, a former mayor and attorney, who is a credible source. The link provided also offers factual information about Hillary Clinton's health, not just rumors or smears. Let's be responsible and fact-check before jumping to conclusions.""]","[""misinformation: Well, the news source itself seems a bit unreliable, don't you think? I mean, it's not exactly a reputable outlet known for its factual reporting. Plus, the information they're promoting is based on a vague suggestion from Rudy Giuliani to search for something online without any real evidence to back it up. And let's be honest, spreading rumors about someone's health is not only unethical, it's also a pretty low blow.""]",false
1,"""Go online &amp; put down 'Hillary Clinton illness,'"" Rudy says. Yes -- but look up the truth -- not health smears  https://t.co/EprqiZhAxM","[""true information: It's important to verify the news we receive before we believe and share it. This news is based on a tweet by Rudy Giuliani, a former mayor and attorney, who is a credible source. The link provided also offers factual information about Hillary Clinton's health, not just rumors or smears. Let's be responsible and fact-check before jumping to conclusions.""]","[""misinformation: Well, the news source itself seems a bit unreliable, don't you think? I mean, it's not exactly a reputable outlet known for its factual reporting. Plus, the information they're promoting is based on a vague suggestion from Rudy Giuliani to search for something online without any real evidence to back it up. And let's be honest, spreading rumors about someone's health is not only unethical, it's also a pretty low blow.""]",false
2,#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,"[""true information: 1. The news of the Charlie Hebdo gunman's hostage being freed after a police assault is a logical development in the ongoing situation. \n2. The credibility of the news source, which has a track record of reporting reliable information, adds to the believability of the news. \n3. The psychological factor at play is relief - we all feel relieved knowing that the hostage is safe. \n4. Moreover, the content information is consistent with our expectations of how the situation should be resolved - the hostage being freed and safe.""]","['misinformation: I understand that this news seems to be true, but we need to analyze it more carefully. Firstly, we need to check the credibility of the source and ensure that it is reliable. Secondly, we need to examine the content of the news and see if it aligns with other sources reporting on the same event. Finally, we need to consider the psychological factors at play, such as sensationalism and confirmation bias, which may influence the way this news is being reported.']",true
3,"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","[""true information: It's been reported by multiple news outlets that there are hostages being held inside a cafe in Sydney. The fact that there are photos and videos circulating online of an Islamic flag being held up inside the cafe adds credibility to the reports. Additionally, the police have confirmed that they are responding to a hostage situation in the area. It's important to take these reports seriously and stay informed as the situation develops.""]",['misinformation: The news source has a history of sensationalizing events and misrepresenting facts for higher ratings. We should wait for confirmation from multiple sources before jumping to conclusions. The use of an Islamic flag does not necessarily mean that the hostage-takers are connected to any terrorist organization. We should not let fear and assumptions cloud our judgement and make us vulnerable to misinformation.'],true
4,"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A","[""true information: It's understandable to feel skeptical about news nowadays, but we have to trust credible sources like BBC News. They have a reputation to uphold and they wouldn't publish something that they can't verify themselves. Additionally, the content of the news is consistent with previous events and reports from witnesses. It's also important to acknowledge the emotional impact of the news, but we shouldn't let it cloud our judgment in accepting the truth.""]","[""misinformation: The information provided in the news is not credible, as it is based on unverified reports. We should not jump to conclusions without proper investigation and evidence. Additionally, such sensationalized news can create fear and panic among the public, which can lead to further chaos. It's essential to rely on credible sources and facts to avoid misinformation and maintain social harmony.""]",unverified
5,#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,"['true information: I understand that it can be difficult to trust the news nowadays, but we need to consider the psychological factors at play here. The suspects reportedly told police they were ""prepared to die as martyrs,"" which aligns with the extremist ideologies of many terrorist groups. Additionally, the source of the news, French media, has a reputation for being credible and reliable. The information provided is consistent with what we know about the Charlie Hebdo shooting, further adding to its credibility.']","[""misinformation: The news might not be entirely true because it's based on the suspect's statement, which could be false. Moreover, the source of the news might not be credible, which could further raise doubts about the authenticity of the news. Additionally, such news could spread fear and panic among people, leading to a negative impact on society.""]",unverified
6,"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU","['true information: The fact that the suspects were willing to die as martyrs is a chilling revelation that should concern us all. The psychological factor at play here is the extremist ideology that drives individuals to commit such heinous acts. The credibility of the source, French media, gives us reason to trust the veracity of this information. We must acknowledge this truth in order to fully understand the threat of extremism and work towards preventing future tragedies.']","['misinformation: The news lacks credible sources, as it only cites ""French media"" without specifying which one. Furthermore, the information is vague and lacks context. It uses emotionally charged words such as ""martyrs"" to evoke fear and anxiety in the audience. Without clear evidence and proper context, the news is nothing but misinformation that serves to create panic and misinformation.']",unverified
7,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,"[""true information: It's important to trust the credibility of the source when it comes to news. This information was reported by multiple reputable news outlets and journalists who have a track record of accuracy. Additionally, the psychological impact of withholding this information for several hours could have contributed to the unrest and anger in the community. We should rely on factual information to make informed decisions and address the issues at hand.""]","[""misinformation: I understand that this news might be concerning to you, but we should take a step back and evaluate the credibility of the source. Do they have a history of spreading misinformation or bias? Additionally, we should consider the psychological factors at play, such as confirmation bias and the desire for sensational headlines. Lastly, let's look at the content of the article and whether it presents a balanced and accurate perspective.""]",unverified
8,#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,"[""true information: The source of the news, the Ferguson Police, is a credible organization that has been responsible for law enforcement in the area. They have no reason to lie about the incident, especially given the current climate of racial tension and public scrutiny. Additionally, the details of the alleged robbery and the shooting match up with eyewitness accounts, further supporting the credibility of the report. It's important to acknowledge the emotions involved in this situation, but the logical evidence supports the truth of the news.""]","[""misinformation: The news about the Ferguson shooting may have been misleading because it only includes one side of the story. It's important to remember that every situation has different perspectives and the media may not always provide accurate information. Additionally, the credibility of the source should be taken into account when considering the validity of the news. It's crucial to gather all the information possible before making conclusions.""]",unverified
9,"#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO","['true information: The news about the Sydney siege is being reported by credible sources such as CNN and BBC. They have shared details about the hostage situation and the demands made by the hostage-takers. These facts make the news more reliable. Plus, the psychological impact of such news on the people of Sydney and beyond is immense and cannot be ignored. Therefore, it is highly likely that the news is true information.']","[""misinformation: Well, first of all, we need to consider the source of this news. Is it a credible news outlet or just some random website? Secondly, the information seems to be sensationalized and fear-mongering. It's possible that the hostage-takers don't even have suicide belts and are just trying to create a panic. Lastly, this kind of news can cause unnecessary stress and anxiety, which is not healthy for anyone. It's better to wait for verified information before jumping to conclusions.""]",unverified
